Dataset Name,Cross Validation [1-10],Algorithm Name,best temperature_magnitude,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training TIme,Inference TIme,,Algorithm Name,best temperature_magnitude,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training TIme,Inference TIme,,Algorithm Name,best temperature_magnitude,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training TIme,Inference TIme
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird7,1,base,200_0.002,52.62923388,95,96.13378882,0.497034044,52.8369677,53.58312553,90.99183893,22.24249015,,article,200_0.002,53.6546136,95,96.52243241,0.497034044,53.20161309,54.67718866,90.99183893,23.46817494,,improve,1000_0.003,50.37089368,95,98.05679544,0.497034044,49.7109823,49.87217542,96.21321559,23.43829897
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird7,2,base,500_0.002,58.47927509,95,94.35683963,0.501698276,61.00474901,60.50834179,97.54679418,24.22078073,,article,500_0.001,58.03483064,95,95.20686156,0.501698276,59.97882177,60.59723184,97.54679418,25.6634794,,improve,1500_0.001,50.86541858,95,97.92044736,0.501698276,50.45295681,50.63433815,98.38145161,24.08006084
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird7,3,base,1500_0.0025,56.33297814,95,94.0010989,0.50264258,59.51903921,59.7187698,93.59695506,22.59531165,,article,200_0.004,58.28016013,95,93.71757593,0.50264258,60.43686173,62.19252282,93.59695506,24.39944825,,improve,1000_0.0035,50.70646415,95,98.09372279,0.50264258,50.07640468,50.15846045,103.7628782,23.60108916
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird7,4,base,500_0.002,57.0689509,95,93.731036,0.503361832,59.53965619,59.63974392,93.46528816,17.6261531,,article,200_0.0035,58.20660936,95,94.68359053,0.503361832,59.99733506,60.71346792,93.46528816,18.50664496,,improve,1500_0.003,50.84775698,95,98.17639944,0.503361832,50.18389654,50.02541614,96.48958588,18.5824794
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird7,5,base,1500_0.002,59.01956709,95,94.12271034,0.502319366,60.83895365,60.07806724,95.34296918,21.11857559,,article,200_0.003,59.7359237,95,94.97910077,0.502319366,62.85851878,61.20610847,95.34296918,22.45470261,,improve,500_0.001,50.52984811,95,98.27339579,0.502319366,49.50651695,49.33898323,87.97040391,21.24799904
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird7,6,base,1500_0.003,58.46320695,95,95.11870162,0.499687822,62.15538679,60.32186767,100.3426275,17.65810584,,article,1000_0.002,58.28353154,95,95.55618641,0.499687822,61.63449507,60.37831721,100.3426275,18.47679254,,improve,500_0.0025,50.33557047,95,98.17758596,0.499687822,49.50948655,49.75064732,102.0800092,18.52908856
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird7,7,base,500_0.0015,55.82026375,95,95.42536837,0.49888311,58.01209624,58.19118994,98.13276386,24.8869836,,article,500_0.0035,56.38084108,95,95.74741736,0.49888311,59.31826995,59.58504673,98.13276386,26.02169951,,improve,1000_0.001,50.15895443,95,98.187313,0.49888311,49.22948369,49.23727416,99.51386094,24.98688406
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird7,8,base,200_0.002,54.08607481,95,96.06984696,0.497200377,56.02498136,55.13729102,92.30478716,18.6251013,,article,1500_0.0015,54.24413046,95,96.67195148,0.497200377,55.58508968,54.95879298,92.30478716,20.14125359,,improve,200_0.004,50.65347934,95,97.74387677,0.497200377,49.87302486,50.34708641,91.01585841,18.48296239
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird7,9,base,200_0.001,59.86129754,95,94.3396771,0.501743752,63.25084972,61.28493209,94.90149951,20.99248629,,article,1500_0.004,60.76809529,95,94.40911561,0.501743752,63.5767534,63.0540224,94.90149951,21.30870447,,improve,200_0.0035,50.68880254,95,98.20187597,0.501743752,49.94120077,49.71630143,90.06188393,22.44011889
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird7,10,base,1000_0.002,59.66734762,95,94.44287607,0.501470427,63.18944621,61.80928775,111.8060675,18.39793177,,article,500_0.0025,60.65713333,95,95.03637416,0.501470427,63.79421092,62.99858185,111.8060675,19.86075904,,improve,1000_0.001,51.05969622,95,97.8629238,0.501470427,50.64197527,50.80423621,102.9228487,19.66565092
