Dataset Name,Algorithm Name,Cross Validation [1-10],best temperature_magnitude,Acc,,Algorithm Name,Cross Validation [1-10],best temperature_magnitude,Acc,,Algorithm Name,Cross Validation [1-10],best temperature_magnitude,Acc,
CIFAR10,base,1,1000_0.0013,55.09166666666667%,,article,1,1000_0.0013,54.83472222222222%,,improve,1,1000_0.0013,50.35000000000001%,
CIFAR10,base,2,950_0.0014,58.26388888888889%,,article,2,950_0.0014,59.137499999999996%,,improve,2,950_0.0014,50.449999999999996%,
CIFAR10,base,3,1050_0.001,60.55972222222222%,,article,3,1050_0.001,61.658333333333324%,,improve,3,1050_0.001,50.3375%,
CIFAR10,base,4,800_0.0011,60.78888888888889%,,article,4,800_0.0011,61.633333333333326%,,improve,4,800_0.0011,50.3%,
CIFAR10,base,5,1050_0.001,60.61527777777778%,,article,5,1050_0.001,61.28333333333333%,,improve,5,1050_0.001,50.7%,
CIFAR10,base,6,1200_0.001,59.38194444444444%,,article,6,1200_0.001,60.89861111111111%,,improve,6,1200_0.001,50.150000000000006%,
CIFAR10,base,7,800_0.0018,58.420833333333334%,,article,7,800_0.0018,59.86666666666667%,,improve,7,800_0.0018,50.287499999999994%,
CIFAR10,base,8,1150_0.0018,60.705555555555556%,,article,8,1150_0.0018,62.26527777777777%,,improve,8,1150_0.0018,50.112500000000004%,
CIFAR10,base,9,1150_0.0016,58.699999999999996%,,article,9,1150_0.0016,58.40972222222223%,,improve,9,1150_0.0016,50.4375%,
CIFAR10,base,10,1000_0.0018,57.858333333333334%,,article,10,1000_0.0018,59.706944444444446%,,improve,10,1000_0.0018,50.5125%,
