Dataset Name,Cross Validation [1-10],Algorithm Name,best temperature_magnitude,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training TIme,Inference TIme,,Algorithm Name,best temperature_magnitude,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training TIme,Inference TIme,,Algorithm Name,best temperature_magnitude,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training TIme,Inference TIme
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR8,1,base,500_0.003,64.48333333,95,92.19896572,0.507481436,69.28934444,68.19734118,94.79316616,24.53766247,,article,1500_0.002,66.95416667,95,92.47180514,0.507481436,72.61922222,70.92058199,94.79316616,26.08771449,,improve,1500_0.0025,50.3,95,98.2431213,0.507481436,49.676275,49.70795248,100.1237814,26.33417462
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR8,2,base,1500_0.004,64.45138889,95,92.91519614,0.505547193,69.36281667,66.88401564,97.26645017,21.23534673,,article,1500_0.0025,67.91666667,95,93.19247649,0.505547193,73.78998333,71.00896058,97.26645017,21.56300985,,improve,500_0.004,50.4375,95,98.21997372,0.505547193,49.98656875,49.7202671,99.83497167,22.06838923
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR8,3,base,500_0.003,65.7125,95,92.93075263,0.505505345,70.84256389,67.46261102,94.65407681,22.88484586,,article,1000_0.004,67.69444444,95,94.03163548,0.505505345,73.30016111,69.561872,94.65407681,24.69474725,,improve,200_0.004,50.55,95,98.17988506,0.505505345,49.7717875,49.74049337,100.0959222,23.24562379
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR8,4,base,500_0.0015,65.81944444,95,93.15312305,0.504907909,70.95785,67.09834454,95.76824045,18.54576377,,article,200_0.004,67.39027778,95,93.95263415,0.504907909,73.05601389,68.82275821,95.76824045,19.9140238,,improve,200_0.003,50.975,95,98.47912592,0.504907909,50.23710625,49.74479724,102.1001768,18.36569542
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR8,5,base,1500_0.002,64.82083333,95,93.30767492,0.504493511,69.82960278,66.55583177,95.94659567,19.32477148,,article,1000_0.004,66.61805556,95,93.96647088,0.504493511,72.19198333,68.8332407,95.94659567,21.08082885,,improve,200_0.0015,50.4125,95,98.13955954,0.504493511,49.53163125,49.76074074,105.290195,20.15709008
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR8,6,base,1500_0.001,64.95277778,95,92.97671418,0.505381746,70.55695278,67.42991494,95.3053925,16.13150631,,article,1000_0.004,68,95,93.56040117,0.505381746,73.62426389,69.99742239,95.3053925,17.44441903,,improve,500_0.0035,50.275,95,98.07852162,0.505381746,49.77865,50.12146685,103.4944165,17.26149572
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR8,7,base,1000_0.0005,65.39027778,95,92.88614163,0.505625371,70.18643333,67.26973669,97.47074342,20.30457664,,article,1000_0.0005,67.18472222,95,93.55093119,0.505625371,72.42551111,69.47444534,97.47074342,20.45255143,,improve,1000_0.002,50.875,95,98.02630273,0.505625371,50.38786875,50.4369848,104.1769037,20.88562136
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR8,8,base,1000_0.002,66.31944444,95,92.6216594,0.506338129,71.03009444,67.85017535,98.51453424,18.14505447,,article,1000_0.0025,69.07222222,95,93.45753388,0.506338129,74.13206111,70.33183831,98.51453424,20.02596701,,improve,1000_0.0035,50.8625,95,98.08127438,0.506338129,50.7593625,50.92292024,100.8380411,19.36264409
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR8,9,base,1000_0.0015,64.01944444,95,92.89478497,0.505602111,69.26168333,67.09431579,97.60821629,22.81543359,,article,1000_0.001,66.10138889,95,93.20073489,0.505602111,72.0043,69.8445254,97.60821629,24.07495796,,improve,1000_0.0025,50.75,95,98.19061196,0.505602111,50.46025,50.18550388,102.1020598,24.71031483
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR8,10,base,1000_0.001,66.68888889,95,92.22693803,0.507405617,72.014025,68.28795843,95.21660829,19.33732162,,article,500_0.001,67.83194444,95,93.18101151,0.507405617,73.27717778,69.44618209,95.21660829,19.24221094,,improve,1000_0.002,50.725,95,98.24930362,0.507405617,50.27535625,50.23228998,103.5051425,20.03315099
